"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","39","Negative. Create pet with invalid data using json approach 3. Negative. Create pet with invalid data using json approach. Pet with invalid status","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","50","Positive. Create pet with valid data 4. Positive. Create pet with valid data: id: 4, name: ","","Mon Jan 27 11:49:43 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_validPet_success200"
"","35","1. Negative. Delete the Pet with invalid id returns 400","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.DeletePetTests","petAPI.tests.DeletePetTests","delete_withInvalidId_returns400"
"","41","1. Negative. Delete not existing  Pet returns 400","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.DeletePetTests","petAPI.tests.DeletePetTests","delete_notExisting_returns404"
"","29","Negative. Create pet with invalid data using object approach 1. Negative. Create pet with invalid data using object approach: id: 0, name: 0 ID name","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","46","Negative. Create pet with invalid data using json approach 4. Negative. Create pet with invalid data using json approach. Pet with incorrect ID type","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","56","Positive. Create pet with valid data 2. Positive. Create pet with valid data: id: 2, name: Meow","","Mon Jan 27 11:49:43 GMT 2025","passed","Mon Jan 27 11:49:43 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_validPet_success200"
"","86","1. Positive. Update existing Pet Name returns 201","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.UpdatePetTests","petAPI.tests.UpdatePetTests","put_update_petName_200"
"","23","Negative. Create pet with invalid data using json approach 5. Negative. Create pet with invalid data using json approach. Pet with missing required name","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","24","2. Negative. Get not existing Pet: Returns 404","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.GetPetbyIDTests","petAPI.tests.GetPetbyIDTests","get_notExisting_returns404"
"","69","1. Positive. Get Existing Pet: Returns 200 and Verifies Response Structure","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.GetPetbyIDTests","petAPI.tests.GetPetbyIDTests","get_existing_returns200"
"","76","Negative. Create pet with invalid data using json approach 2. Negative. Create pet with invalid data using json approach. Pet with missing ID","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","48","1. Positive. Delete existing Pet returns 200","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.DeletePetTests","petAPI.tests.DeletePetTests","delete_existing_returns200"
"","30","Negative. Create pet with invalid data using object approach 2. Negative. Create pet with invalid data using object approach: id: null, name: Null ID name","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","115","Negative. Create pet with invalid data using json approach 1. Negative. Create pet with invalid data using json approach. Pet with null ID","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","26","Negative. Create pet with invalid data using object approach 3. Negative. Create pet with invalid data using object approach: id: -1, name: Negative ID","","Mon Jan 27 11:49:44 GMT 2025","failed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_invalidPet_400"
"","2433","Positive. Create pet with valid data 1. Positive. Create pet with valid data: id: 1, name: Rex","","Mon Jan 27 11:49:41 GMT 2025","passed","Mon Jan 27 11:49:43 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_validPet_success200"
"","72","1. Negative. Update not existing Pet returns 404","","Mon Jan 27 11:49:44 GMT 2025","passed","Mon Jan 27 11:49:44 GMT 2025","","petAPI.tests.UpdatePetTests","petAPI.tests.UpdatePetTests","put_update_notExistingPet_404"
"","46","Positive. Create pet with valid data 3. Positive. Create pet with valid data: id: 3, name: Funny","","Mon Jan 27 11:49:43 GMT 2025","passed","Mon Jan 27 11:49:43 GMT 2025","","petAPI.tests.CreatePetTests","petAPI.tests.CreatePetTests","postPet_validPet_success200"
